id,first_name,last_name,email,gender,Hobbies & Interests,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,Economics Score,geography_score,Computer Science Score,analytical thinking score,logical reasoning score,Psychology Score,preferred learning method,Recommended Stream
1,Paul,Casey,paul.casey.1@gslingacademy.com,male,Gaming,FALSE,3,FALSE,27,Lawyer,73,81,93,97,63,80,74,87,75,17,40,20,Auditory,Technology
2,Danielle,Sandoval,danielle.sandoval.2@gslingacademy.com,female,Acting & Theatre,FALSE,2,FALSE,47,Doctor,90,86,96,100,90,88,94,90,28,83,94,45,Auditory,Medical
3,Tina,Andrews,tina.andrews.3@gslingacademy.com,female,Writing & Blogging,FALSE,9,TRUE,13,Government Officer,81,97,95,96,65,77,28,94,15,19,84,89,Kinesthetic,Arts
4,Tara,Clark,tara.clark.4@gslingacademy.com,female,Gaming,FALSE,5,FALSE,3,Artist,71,74,88,80,89,63,93,86,95,15,88,62,Reading/Writing,Technology
5,Anthony,Campos,anthony.campos.5@gslingacademy.com,male,Dance,FALSE,5,FALSE,10,Unknown,84,77,65,65,80,74,66,76,42,54,20,13,Visual,Arts
6,Kelly,Wade,kelly.wade.6@gslingacademy.com,female,Photography,FALSE,2,FALSE,26,Unknown,93,100,67,78,72,80,59,84,46,88,62,25,Reading/Writing,Arts
7,Anthony,Smith,anthony.smith.7@gslingacademy.com,male,Volunteering & Social Work,FALSE,3,TRUE,23,Software Engineer,99,96,97,73,88,76,81,64,65,81,99,84,Reading/Writing,Technology
8,George,Short,george.short.8@gslingacademy.com,male,Painting & Drawing,TRUE,2,TRUE,34,Software Engineer,95,95,82,63,84,70,40,85,93,51,73,55,Auditory,Technology
9,Stanley,Gutierrez,stanley.gutierrez.9@gslingacademy.com,male,Photography,FALSE,6,FALSE,25,Unknown,94,68,94,85,81,74,70,72,48,71,15,81,Auditory,Medical
10,Audrey,Simpson,audrey.simpson.10@gslingacademy.com,female,Photography,FALSE,3,TRUE,18,Teacher,98,69,88,71,67,71,70,73,27,17,14,26,Visual,Technology
11,Gabrielle,White,gabrielle.white.11@gslingacademy.com,female,Acting & Theatre,FALSE,2,FALSE,7,Teacher,65,60,97,94,71,81,93,66,83,53,93,74,Kinesthetic,Medical
12,Clinton,Randolph,clinton.randolph.12@gslingacademy.com,male,Writing & Blogging,FALSE,1,FALSE,7,Unknown,80,61,100,65,87,64,55,61,18,68,35,12,Auditory,Medical
13,Patricia,Gomez,patricia.gomez.13@gslingacademy.com,female,Volunteering & Social Work,TRUE,7,FALSE,4,Business Owner,94,59,69,67,89,65,38,73,92,28,78,34,Auditory,Technology
14,Pamela,Jackson,pamela.jackson.14@gslingacademy.com,female,Painting & Drawing,FALSE,10,FALSE,2,Business Owner,66,94,86,100,57,90,97,63,39,41,74,90,Kinesthetic,Arts
15,Laura,Jackson,laura.jackson.15@gslingacademy.com,female,Sports,FALSE,3,FALSE,39,Doctor,96,90,86,92,92,95,30,87,88,52,30,92,Kinesthetic,Medical
